iter	RMSE
481	0.2017260926
482	0.2015274671
483	0.2013800203
484	0.2012013208
485	0.2010302823
486	0.2007863114
487	0.2007431122
488	0.2005381698
489	0.2003161982
490	0.1999414199
491	0.1997241159
492	0.1995158351
493	0.1992323784
494	0.1990936852
495	0.1988925209
496	0.1987687965
497	0.1984293109
498	0.1982079825
499	0.1979952112
500	0.1976487373
501	0.1973194039
502	0.1971236726
503	0.1968567284
504	0.1966631465
505	0.196487071
506	0.1962447863
507	0.1961178248
508	0.1959114028
509	0.1957026265
510	0.1954737634
511	0.1952126733
512	0.1950080729
513	0.1947980855
514	0.1946009096
515	0.1944831827
516	0.1944406011
517	0.1943220989
518	0.1941465086
519	0.193930976
520	0.1937405978
521	0.1935735145
522	0.1934800847
523	0.1933012668
524	0.1931185503
525	0.193007607
526	0.1928189466
527	0.1927203768
528	0.1925391929
529	0.1923698087
530	0.1921146966
531	0.1919553249
532	0.1918305407
533	0.191619502
534	0.1913589776
535	0.1910674279
536	0.1908961173
537	0.1907328038
538	0.1906608986
539	0.1904847886
540	0.1902083069
541	0.1900809549
542	0.1898413944
543	0.1895309667
544	0.1894145217
545	0.1891708991
546	0.1889484828
547	0.1886834803
548	0.1884559134
549	0.1882268801
550	0.1879440234
551	0.1878277723
552	0.1875330287
553	0.1873100287
554	0.1871790169
555	0.1869344141
556	0.1868786454
557	0.1867007049
558	0.1866223965
559	0.1865402891
560	0.1862318361
561	0.1860589221
562	0.1858922077
563	0.1855640281
564	0.1853468153
565	0.1852113654
566	0.1850164046
567	0.1848499162
568	0.1847611345
569	0.1845864063
570	0.1844460635
571	0.1843257783
572	0.1840940831
573	0.1838850725
574	0.183729864
575	0.1834479053
576	0.1832756525
577	0.1829797119
578	0.1828373008
579	0.1826283235
580	0.1824699694
581	0.1822980703
582	0.1820313335
583	0.1818789944
584	0.1817689767
585	0.1816195877
586	0.1814896222
587	0.1813063087
588	0.1811139225
589	0.1807722511
590	0.1805973791
591	0.1803793474
592	0.180241853
593	0.179993254
594	0.1796967025
595	0.1795356517
596	0.1794097961
597	0.1793002918
598	0.1789878323
599	0.1787170992
600	0.1786783826
601	0.1785884981
602	0.1783980991
603	0.1781273735
604	0.1779400192
605	0.1777056211
606	0.1774980588
607	0.1771977686
608	0.1770514059
609	0.1768317795
610	0.1767427035
611	0.1766375715
612	0.176410865
613	0.1762281022
614	0.1760711662
615	0.1759009266
616	0.1756398654
617	0.1754773104
618	0.175345067
619	0.175044815
620	0.1749896688
621	0.1748222415
622	0.1745815372
623	0.1743759014
624	0.1743386594
625	0.1742271009
626	0.1739856477
627	0.1738907299
628	0.1736238914
629	0.1734665474
630	0.173181191
631	0.1729665983
632	0.1728431116
633	0.1725933927
634	0.1724620126
635	0.1723426741
636	0.1723223655
637	0.1721053395
638	0.1719304893
639	0.1717923644
640	0.1717103658
641	0.1715908518
642	0.171426511
643	0.1712402363
644	0.1710761079
645	0.1709293621
646	0.1707688554
647	0.1706572534
648	0.1705682893
649	0.1703549282
650	0.170096864
651	0.169907118
652	0.1697055839
653	0.1695275838
654	0.1692777338
655	0.1691805938
656	0.1690659782
657	0.1688377875
658	0.1687419347
659	0.1686140052
660	0.1685270811
661	0.1684448861
662	0.1682511905
663	0.1681251832
664	0.1680274391
665	0.1678275286
666	0.1676030107
667	0.1675219016
668	0.1674161568
669	0.1672145412
670	0.1670099998
671	0.1668717282
672	0.1666641066
673	0.1664655683
674	0.1662676032
675	0.166111615
676	0.1660217004
677	0.1659219726
678	0.1658600751
679	0.1656281602
680	0.1654499008
681	0.1652821271
682	0.1650446862
683	0.1649294767
684	0.1647917094
685	0.1646099427
686	0.1645832418
687	0.1644885795
688	0.1642801877
689	0.1641074288
690	0.1640042412
691	0.1637908878
692	0.1637033724
693	0.1635235194
694	0.1632682225
695	0.1630523341
696	0.1628727635
697	0.1626465698
698	0.1625377136
699	0.1623600557
700	0.162167361
701	0.1620811318
702	0.161859826
703	0.1616215317
704	0.1615603265
705	0.1614134676
706	0.1612122083
707	0.1610147613
708	0.1607814465
709	0.1605546931
710	0.1604122264
711	0.160259429
712	0.1601789597
713	0.1600598976
714	0.1598811083
715	0.1596770978
716	0.1595273411
717	0.1594102397
718	0.1592612254
719	0.1590352581
720	0.1589114148
721	0.1587463319
722	0.1585239617
723	0.1583566595
724	0.1582410663
725	0.1580644977
726	0.1579222955
727	0.1577063426
728	0.1574844212
729	0.1572884835
730	0.1570794449
731	0.1569027229
732	0.1568302309
733	0.1566751963
734	0.1564909399
735	0.1563615412
736	0.1561793109
737	0.1559244682
738	0.1557460529
739	0.1555687264
740	0.1554109273
741	0.1553152833
742	0.1552017765
743	0.1549961659
744	0.1548258076
745	0.1546981358
746	0.1545988527
747	0.1544419713
748	0.1543413396
749	0.1542625903
750	0.1540968518
751	0.1538283967
752	0.1536472945
753	0.1535692495
754	0.1532784448
755	0.1531522316
756	0.1530287399
757	0.152900693
758	0.1527902117
759	0.1526708586
760	0.1525334963
761	0.1524136228
762	0.1523678608
763	0.1522609456
764	0.1521515892
765	0.1519337881
766	0.1518827126
767	0.1517786919
768	0.1517199968
769	0.1516133517
770	0.1514514072
771	0.1513127194
772	0.1512091408
773	0.1509996117
774	0.1508183331
775	0.1507520069
776	0.1505992963
777	0.1504440505
778	0.1503474643
779	0.1503113721
780	0.1502260287
781	0.1500611347
782	0.1499413894
783	0.1497705676
784	0.1496291048
785	0.14949726
786	0.1493418126
787	0.1493000263
788	0.149136491
789	0.1490372219
790	0.1489267529
791	0.1487176255
792	0.148645358
793	0.1484444228
794	0.1483248628
795	0.1482071195
796	0.1479959994
797	0.1479721344
798	0.1478329151
799	0.1478214837
800	0.1476750556
801	0.1475481581
802	0.1473667092
803	0.1471619102
804	0.1470285887
805	0.1468224961
806	0.1465948201
807	0.1464701688
808	0.1463677329
809	0.1462468598
810	0.1462152091
811	0.1460963769
812	0.1459395092
813	0.1457449088
814	0.145604073
815	0.145401265
816	0.1452755148
817	0.1451631492
818	0.1449818458
819	0.144797081
820	0.1446693197
821	0.1445619512
822	0.1444064806
823	0.1442555146
824	0.1441350845
825	0.1439794715
826	0.1439364743
827	0.1437927645
828	0.1436633207
829	0.1434534284
830	0.1432407898
831	0.1430613185
832	0.1429357026
833	0.1427879595
834	0.1426832226
835	0.1424736261
836	0.1423406504
837	0.14218713
838	0.1420771294
839	0.1419115274
840	0.1417988292
841	0.141620861
842	0.1414163426
843	0.1412983187
844	0.1412518369
845	0.1411523478
846	0.1410530248
847	0.1409779369
848	0.140894869
849	0.1408342319
850	0.140716221
851	0.1405490755
852	0.1404316873
853	0.1403371417
854	0.1401603435
855	0.1400915241
856	0.1400268466
857	0.1399518409
858	0.1398753861
859	0.1397656816
860	0.1396023949
861	0.1394880006
862	0.139327119
863	0.1392288482
864	0.1391526148
865	0.1389681562
866	0.138815142
867	0.1387412007
868	0.1386487808
869	0.1385582551
870	0.1384078893
871	0.1382794137
872	0.138193776
873	0.1380640317
874	0.1379892482
875	0.1378314381
876	0.137677205
877	0.1375089327
878	0.1374309283
879	0.1372898089
880	0.1371580642
881	0.1370618034
882	0.136972755
883	0.1368139395
884	0.1366833359
885	0.1365386826
886	0.1363730876
887	0.136341459
888	0.1362898845
889	0.136200069
890	0.1360603199
891	0.1359398716
892	0.1358167076
893	0.1356506272
894	0.1355278662
895	0.1353954716
896	0.1352782361
897	0.1351330829
898	0.1349600458
899	0.1348173669
900	0.1346669292
901	0.1345135398
902	0.1343995922
903	0.1342907901
904	0.1341860538
905	0.134125403
906	0.1339568331
907	0.1338333243
908	0.133679463
909	0.1335563617
910	0.1334062559
911	0.1333126013
912	0.1333043474
913	0.133175754
914	0.1330369967
915	0.1328773121
916	0.1327222956
917	0.1326537055
918	0.1325699142
919	0.1324621613
920	0.1324529188
921	0.1322727622
922	0.1322269951
923	0.1321173415
924	0.1320738355
925	0.13189114
926	0.1317857775
927	0.1317003576
928	0.131595026
929	0.1314263454
930	0.1312870804
931	0.1310562638
932	0.130956505
933	0.1307572892
934	0.1306245687
935	0.1304769933
936	0.1303662265
937	0.1302564556
938	0.1300861639
939	0.1299505315
940	0.1297885458
941	0.1296934349
942	0.129666616
943	0.1295807554
944	0.129456064
945	0.1292712446
946	0.1291852636
947	0.1291111053
948	0.1289820403
949	0.1289063034
950	0.1288632039
951	0.1287612777
952	0.1286645904
953	0.1285388035
954	0.1284165433
955	0.1283486753
956	0.1281435082
957	0.1280450024
958	0.1279575285
959	0.1278488104
960	0.1277353045
961	0.1275520599
962	0.1274331344
963	0.1273396616
964	0.1272271568
965	0.127078698
966	0.1270092879
967	0.1268574755
968	0.12676408
969	0.1266175619
970	0.1265199357
971	0.1263958868
972	0.1262857377
973	0.1262543667
974	0.1261529111
975	0.1260967192
976	0.1260365609
977	0.1259895128
978	0.1259419597
979	0.1259335079
980	0.1258391044
981	0.1257216952
982	0.1255800882
983	0.1255005173
984	0.1254178046
985	0.1252410124
986	0.1251183161
987	0.1250409535
988	0.1249028576
989	0.1248409246
990	0.1247080273
991	0.1245755234
992	0.1245223695
993	0.124424913
994	0.1242741917
995	0.1241348699
996	0.1240387258
997	0.1239914151
998	0.123890647
999	0.1237360571
